day_offset,range,column,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,per_cultivar_gboost,canopy_height,abserror_per_cultivar_gboost,cultivar,avg_error_per_cultivar_gboost
14,54,6,2.8626106271599996,2.0321454281599998,1.76053458552,0.440562945826,87.83718115420487,23.0,281.9007876269777,Big_Kahuna,36.30133405418094
15,54,8,3.18750547159,2.1559006319,1.80319713901,0.4300155731600001,88.48850271410487,24.0,268.70209464210365,Big_Kahuna,36.30133405418094
18,54,12,2.61395733192,1.8928498064800001,1.7359354244499998,0.454848640328,93.04775363340488,31.0,200.1540439787254,Big_Kahuna,36.30133405418094
19,54,12,1.85706072509,1.59229232784,1.647837901,0.481126382836,95.00171831310486,34.0,179.41681856795546,Big_Kahuna,36.30133405418094
23,54,12,1.2523344828299998,1.4187666349,1.43010187433,0.527794715447,107.3768279512049,53.0,102.59778858717907,Big_Kahuna,36.30133405418094
24,54,12,1.53751253885,1.50986670543,1.54814559212,0.5002077575899999,113.89004355020487,63.0,80.77784690508709,Big_Kahuna,36.30133405418094
32,54,12,3.89703673725,2.10852497061,2.08625161158,0.370828464595,141.24554906600486,105.0,34.519570539052246,Big_Kahuna,36.30133405418094
33,54,4,4.775740460440001,2.3109972745299996,2.2097619949,0.342345330756,146.4561215452049,113.0,29.607187208145927,Big_Kahuna,36.30133405418094
34,2,14,3.0889663242900003,2.0409908122,1.85179576688,0.417696478469,152.96933714420487,123.0,24.365314751386077,Big_Kahuna,36.30133405418094
36,54,15,3.9956871726800003,2.1260882185799996,2.10312522775,0.366123646844,156.87726650360483,129.0,21.610284111321572,Big_Kahuna,36.30133405418094
38,54,15,6.1994471202699994,2.4769142266,2.4659375470400002,0.297490951642,163.3904821026049,139.0,17.547109426334455,Big_Kahuna,36.30133405418094
39,54,15,4.3827341025300015,2.0672001683700003,2.2902629707799997,0.33701884637400004,172.5089839412049,153.0,12.750969896212345,Big_Kahuna,36.30133405418094
40,53,2,6.4463992256500005,2.44004901669,2.55884456281,0.286447777327,175.76559174070485,158.0,11.244045405509398,Big_Kahuna,36.30133405418094
41,54,15,2.1477669560900003,1.60281364263,1.7928835319799998,0.452356861012,177.71955642040487,161.0,10.384817652425385,Big_Kahuna,36.30133405418094
44,54,15,2.8224118216500003,1.7533601667299998,1.9794367228799998,0.405361446391,186.83805825900487,175.0,6.764604719431353,Big_Kahuna,36.30133405418094
45,54,15,3.06999137709,1.85841146253,1.97615531569,0.404036796876,193.35127385800484,185.0,4.514202085408025,Big_Kahuna,36.30133405418094
112,54,12,1.6474057452200002,1.38091626434,1.74457356772,0.459114015977,298.86536656180493,347.0,13.871652287664284,Big_Kahuna,36.30133405418094
113,54,8,1.5613681477599999,1.37768250045,1.6783675846700001,0.47351771955099997,301.47065280140487,351.0,14.110925127804881,Big_Kahuna,36.30133405418094
116,54,2,2.99459905625,1.8320733691599997,1.9610313429799997,0.410765676987,305.37858216080485,357.0,14.459780907337576,Big_Kahuna,36.30133405418094
117,54,15,1.7523523633400002,1.55908811906,1.62099090994,0.48191911254500003,303.42461748110486,354.0,14.286831220026876,Big_Kahuna,36.30133405418094
120,54,14,2.18209162115,1.5803465096,1.8133094185799998,0.43968764607199995,309.93783308010484,364.0,14.852243659311858,Big_Kahuna,36.30133405418094
56,54,12,4.97313503163,2.25008309066,2.29098342218,0.340044074283,223.31206561340485,231.0,3.3281101240671624,Big_Kahuna,36.30133405418094
101,2,14,1.93273166542,1.42516903083,1.8744733434799998,0.43747336758999994,286.49025692370486,328.0,12.655409474480225,Big_Kahuna,36.30133405418094
66,2,14,3.9180640558099995,2.08009522613,2.10599139673,0.371733435997,242.20039085050487,260.0,6.8460035190365875,Big_Kahuna,36.30133405418094
63,2,14,3.47178944333,1.8914209016900003,2.08990137607,0.389819603885,235.03585369160484,249.0,5.608090886905686,Big_Kahuna,36.30133405418094
59,2,14,2.7517283304699998,1.8068346360499998,1.88860056245,0.42259845014799996,225.26603029310488,234.0,3.732465686707318,Big_Kahuna,36.30133405418094
46,54,14,3.3978956722099998,1.9376245023400005,2.02755035344,0.39470126017499996,198.56184633720486,193.0,2.881785666945521,Big_Kahuna,36.30133405418094
47,54,15,2.65481057152,1.6324519383000002,2.0411631481,0.40178667661600004,188.14070137880486,177.0,6.29418156994625,Big_Kahuna,36.30133405418094
55,54,12,3.34657793292,1.92556833122,2.0334814005,0.388699760486,220.05545781390487,226.0,2.6303284009270507,Big_Kahuna,36.30133405418094
57,54,12,4.1626371721,2.12137588653,2.13163192489,0.372966137417,223.31206561340485,231.0,3.3281101240671624,Big_Kahuna,36.30133405418094
58,54,8,4.859920570969999,2.35110360763,2.1923079149599998,0.349258412335,225.91735185300487,235.0,3.864956658295798,Big_Kahuna,36.30133405418094
60,54,15,3.5164383278800004,1.9439990116299999,2.0771538176499997,0.38277401120300003,229.82528121240486,241.0,4.636812774935742,Big_Kahuna,36.30133405418094
61,54,10,3.82344050366,2.1237137378599997,2.0320689942900003,0.387583546123,229.17395965250486,240.0,4.51085014478964,Big_Kahuna,36.30133405418094
62,54,15,3.25505868056,1.91665707858,2.01477901546,0.39083093640100003,233.08188901190488,246.0,5.25126462930696,Big_Kahuna,36.30133405418094
106,54,6,1.87727797251,1.4990877887099998,1.75577599505,0.454484920261,287.1415784836049,329.0,12.722924473068414,Big_Kahuna,36.30133405418094
107,54,8,2.0456065436400004,1.53863021801,1.81527462605,0.44068909958499997,287.1415784836049,329.0,12.722924473068414,Big_Kahuna,36.30133405418094
