canopy_height,cultivar,season,range,column,leaf_angle_mean,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,date,day_offset,single_xgboost,abserror_single_xgboost,single_dtree,abserror_single_dtree,per_cultivar_gboost,abserror_per_cultivar_gboost
15.0,PI453696,4,43,2,0.435924170616,2.6959561265,1.97738038952,1.7564640629099997,2017-05-13 12:00:00,12,18.350262579712815,22.335083864752104,20.68421052631579,37.894736842105274,15.005147216512661,0.034314776751074305
15.0,PI145626,4,35,15,0.396781789639,3.26597994829,2.01862316282,1.94101222758,2017-05-13 12:00:00,12,15.788623166803825,5.257487778692168,16.2,7.999999999999996,15.004654559533542,0.031030396890277718
19.0,PI257600,4,42,2,0.471944444444,2.1596102415700003,1.80920922219,1.63874448741,2017-05-13 12:00:00,12,22.092549196039005,16.276574715994766,20.68421052631579,8.864265927977849,19.00245483786206,0.012920199274004207
13.0,PI569416,4,30,4,0.44409918393,3.04218047036,2.19875149496,1.73298528121,2017-05-13 12:00:00,12,17.00756798594836,30.82744604575661,16.2,24.61538461538461,13.004834964998128,0.037192038447140766
17.0,PI585454,4,45,2,0.462600345112,2.3053454298,1.8720283699,1.6653865087200002,2017-05-15 12:00:00,14,19.366635194551336,13.921383497360797,20.68421052631579,21.67182662538701,17.001927685533715,0.011339326668913893
17.0,PI152961,4,32,2,0.487179487179,2.05416572351,1.8236818228,1.56543073068,2017-05-15 12:00:00,14,21.460732682812196,26.23960401654233,20.166666666666668,18.627450980392165,17.002151473309894,0.012655725352317404
25.0,PI181080,4,33,2,0.453887220554,2.48723550511,1.9630800495200005,1.68468200007,2017-05-15 12:00:00,14,23.730642022191418,5.077431911234328,20.166666666666668,19.33333333333333,25.004789784278167,0.019159137112666258
20.0,PI329570,4,35,2,0.443691506579,2.64630101289,1.95753774235,1.74487153212,2017-05-15 12:00:00,14,17.339332804518424,13.30333597740788,20.166666666666668,0.8333333333333393,20.00413512982059,0.020675649102948057
19.0,PI145626,4,35,15,0.411125187688,3.35085685056,2.12858364822,1.8816983254400004,2017-05-15 12:00:00,14,17.20342400671628,9.4556631225459,16.2,14.736842105263161,19.00428855750294,0.022571355278625117
16.0,PI585452,4,36,10,0.442177041499,2.7623398925700005,1.96321486981,1.7669647680400002,2017-05-15 12:00:00,14,14.558059409271106,9.012128692055587,16.2,1.2499999999999956,16.00480321846985,0.030020115436557582
18.0,PI562985,4,37,2,0.495036661027,1.8982020363,1.77956214688,1.5533306987399995,2017-05-15 12:00:00,14,20.775546954623437,15.419705303463537,20.166666666666668,12.037037037037045,18.00195199875913,0.01084443755071539
13.0,PI569435,4,37,5,0.392168674699,4.056093907569998,2.38191716854,1.94945563434,2017-05-15 12:00:00,14,15.363764622189528,18.182804786073294,16.2,24.61538461538461,13.001664131354385,0.012801010418346418
31.0,PI329310,4,40,2,0.473528064147,2.1327568932900003,1.80805863666,1.62112081084,2017-05-15 12:00:00,14,24.791739190880758,20.026647771352394,31.0,0.0,31.004867069319694,0.015700223611915934
21.0,PI154844,4,42,4,0.418851851852,3.45427254143,2.21668086576,1.85378930588,2017-05-15 12:00:00,14,23.160524954682028,10.288214069914421,20.68421052631579,1.5037593984962325,21.005227884235506,0.02489468683574189
20.0,PI521280,4,42,9,0.424407252441,3.3156791921,2.39814392189,1.75626235056,2017-05-15 12:00:00,14,21.864041307746646,9.320206538733231,20.68421052631579,3.421052631578956,20.005022825539434,0.02511412769717225
26.0,PI330807,4,44,2,0.468828799828,2.38289093932,1.92849638787,1.65082972283,2017-05-15 12:00:00,14,23.935946241681897,7.938668301223473,20.68421052631579,20.445344129554652,26.001800141503807,0.006923621168489
14.0,PI570373,4,45,3,0.412708918305,3.343763602190001,2.03759923088,1.92281244083,2017-05-15 12:00:00,14,19.130230603118378,36.64450430798841,20.68421052631579,47.74436090225565,14.002043766188795,0.014598329919961779
29.0,PI542718,4,46,6,0.41641231593,3.40084768348,2.13292171857,1.88289297659,2017-05-15 12:00:00,14,25.332610891243444,12.646169340539847,20.68421052631579,28.675136116152444,29.001935098951403,0.006672755004838246
22.0,PI563020,4,48,6,0.450662061025,2.68257224846,2.05791029695,1.70570928026,2017-05-15 12:00:00,14,21.250697108663072,3.4059222333496724,20.68421052631579,5.98086124401913,22.005053899179508,0.022972268997763348
