planter_seed_drop,seedling_emergence_rate,emergence_count,canopy_height,canopy_height_diff,leaf_angle_mean,leaf_angle_mean_slope,leaf_angle_chi,leaf_angle_chi_slope,leaf_angle_beta,leaf_angle_beta_slope,leaf_angle_alpha,leaf_angle_alpha_slope,plant_basal_tiller_number,stem_elongated_internodes_number_slope,canopy_cover,stand_count,stalk_diameter_minor_axis,stalk_diameter_major_axis,leaf_width,leaf_length,leaf_desiccation_present,aboveground_dry_biomass,range,column,decision_tree,linearRegression,gboost,abserror_gboost,cultivar
73.0,0.8132835820895522,56.50174129353233,166.0,11.083333333333336,0.3894105107485,-0.0003106524764560317,2.0406907733575,0.004837297750627414,1.8174695508108332,-0.019540041174532626,3.0984576690099996,-0.03708479710587289,3.477941176470588,0.2814889612544667,42.946153846153834,22.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,15460.0,8,8,21105.886597938144,23000.731754520675,16379.739671048037,5.949156992548753,PI570145
76.0,0.8132835820895522,56.50174129353233,207.0,11.083333333333336,0.3621005414368889,0.0002135081910703729,2.109844320637778,0.0021020038103452634,2.343671897166667,-0.010100042432882785,4.534309583104443,-0.015305745065352063,3.477941176470588,0.2814889612544667,42.946153846153834,25.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,34810.0,8,9,23709.032258064515,20607.887347434633,33844.41312337489,2.773877841497006,PI329510
54.0,0.3765,19.0,181.0,4.083333333333333,0.3954536724516923,-0.0003988661170773612,1.97779182215,0.0030421587141511173,1.9780024793646156,-0.006132849927414005,3.2795215813307683,-0.007947407298155568,3.477941176470588,0.2814889612544667,27.4,17.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,7531.0,8,10,8472.0,19803.294375066078,8212.115896154086,9.044162742717912,PI510757
61.0,0.8132835820895522,56.50174129353233,174.0,15.5,0.4215223682297143,0.0002135081910703729,1.9000322335871431,0.0021020038103452634,1.8649587907585716,-0.010100042432882785,2.9081403742442857,-0.015305745065352063,3.477941176470588,0.2814889612544667,42.946153846153834,22.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.2,25720.0,8,12,26347.26966292135,23163.133670899595,26086.735610522206,1.425877179324285,PI329865
35.5,0.8132835820895522,56.50174129353233,126.0,15.5,0.4025371872390909,0.0007135690079156656,1.9372739909018184,-0.002640119429067921,2.1109405253154545,-0.005066446124269668,3.5033337538,-0.01664592454453802,3.5,0.23367925098981754,37.95,24.5,8.92,14.36,66.5,786.6666666666665,0.0,18450.0,9,3,20014.166666666668,11992.636777348016,18312.62700473926,0.744569080004006,PI569457
67.0,0.8132835820895522,56.50174129353233,183.0,11.083333333333336,0.4600853752185625,0.002333600214003775,1.709069397085,-0.008590895707284451,1.5801448982843749,-0.012887825734116991,1.9494129611343751,-0.03834530110810516,3.477941176470588,0.2814889612544667,42.946153846153834,25.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,27930.0,9,4,19909.766666666666,22868.783075937696,26445.354888933027,5.315592950472514,PI521152
73.5,0.8132835820895522,56.50174129353233,227.0,11.083333333333336,0.44779354619538464,0.0012659906600464034,1.8100521176446156,-0.004082677416203218,1.5290466950876922,-0.018749055950309738,2.0616189703784618,-0.0383849151701888,3.477941176470588,0.2814889612544667,42.946153846153834,29.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,19620.0,9,5,21105.886597938144,21370.709736930483,20054.14533215518,2.212769277039662,PI569452
70.5,0.8132835820895522,56.50174129353233,149.0,11.083333333333336,0.3618403377110909,-0.0022371102666956526,2.1967048660927277,0.009150787853321888,1.927429302366364,-0.001773073717489199,3.7828140542454554,0.021651613274503892,3.477941176470588,0.2814889612544667,42.946153846153834,26.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,24140.0,9,7,22788.425925925927,19984.44554396157,23797.94554796485,1.4169612760362489,PI585961
68.0,0.8132835820895522,56.50174129353233,188.0,11.083333333333336,0.41821126252266666,-0.0019322399323825426,1.9222428003883332,0.010519809512591828,1.673944154420833,-0.003718356361413039,2.5020454716358334,0.01633972053068175,3.477941176470588,0.2814889612544667,42.946153846153834,23.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,47210.0,9,11,26347.26966292135,24412.93030284674,46063.63421662719,2.428226611677201,PI570431
63.5,0.8132835820895522,56.50174129353233,184.0,15.5,0.38047311696516667,0.0016029523684738876,2.1021651381549997,-0.006970699323189269,1.8824747699416664,-0.010471022966993015,3.448797992528333,-0.038675430858601687,3.477941176470588,0.2814889612544667,42.946153846153834,23.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,23260.0,9,12,22788.425925925927,23438.40425773972,23700.963082896338,1.8958000124520127,PI257600
58.0,0.8132835820895522,56.50174129353233,221.0,11.083333333333336,0.385600704648125,0.00020980695205267627,2.0563962321775002,0.0015647885425242574,2.0090647712275,-0.01179347998739893,3.6644422183599996,-0.021703922773198915,3.477941176470588,0.2814889612544667,42.946153846153834,25.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,35060.0,9,13,22788.425925925927,20865.037857210613,33477.491194047936,4.513715932550097,PI276837
69.0,0.8132835820895522,56.50174129353233,71.0,11.083333333333336,0.3749124461581537,-0.0006461553675663513,2.071247222590769,0.0041981054990623285,2.0985834925015383,-0.0019463122671564317,3.8257730342969234,0.004995575300353074,3.477941176470588,0.2814889612544667,42.946153846153834,24.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,12080.0,9,14,11855.0,20065.701477602837,12318.876288737481,1.977452721336767,Unknown off type
86.0,0.8132835820895522,56.50174129353233,143.0,11.083333333333336,0.3854300444562143,0.0012628408616788011,2.0452245266364284,-0.003436386236656837,2.0002917810278573,-0.012606807091336368,3.5558838677571427,-0.03779198627868256,3.477941176470588,0.2814889612544667,42.946153846153834,24.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,23020.0,9,15,23020.0,22622.30754589982,22450.03318407223,2.475963579182327,PI569454
73.0,0.8132835820895522,56.50174129353233,203.0,11.083333333333336,0.3879367447208,0.0002135081910703729,2.067678004924,0.0021020038103452634,1.9890549218270002,-0.010100042432882785,3.7380046265530003,-0.015305745065352063,3.477941176470588,0.2814889612544667,42.946153846153834,24.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,33010.0,10,2,22788.425925925927,20635.08471757092,29456.484358229227,10.764967106242876,PI641807
72.5,0.8132835820895522,56.50174129353233,193.0,11.083333333333336,0.4326522951512308,0.0031502468478162627,1.8652359977007693,-0.009292011162163627,1.6458859865992308,-0.02950501039601826,2.3987647961761542,-0.0746529616119932,3.477941176470588,0.2814889612544667,42.946153846153834,23.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,43730.0,10,5,21105.886597938144,22010.086425244852,42587.76617627329,2.6120142321671858,PI641821
62.5,0.8132835820895522,56.50174129353233,203.0,11.083333333333336,0.416382230501,0.0025017115177694824,1.8904248102554544,-0.008618361588216302,2.0781919737854544,-0.010381414928911549,3.3176025575409085,-0.03915623152384814,3.477941176470588,0.2814889612544667,42.946153846153834,25.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,24430.0,10,6,21170.2,22190.666407402838,24786.704544418826,1.4601086550095215,PI179749
78.5,0.8132835820895522,56.50174129353233,176.0,11.083333333333336,0.35941013145229994,0.0002135081910703729,2.189024375754,0.0021020038103452634,1.983572577844,-0.010100042432882785,3.901874534823,-0.015305745065352063,3.477941176470588,0.2814889612544667,42.946153846153834,24.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.4,35050.0,10,9,22788.425925925927,24230.788276415136,34255.65539880439,2.2663184056936125,PI641909
65.5,0.8132835820895522,56.50174129353233,156.0,15.5,0.3667340592620714,0.0023500482493090673,2.0944515069621428,-0.008173037346531164,2.2070701955864287,-0.011084487659682186,4.180682235918572,-0.051020118266694295,3.477941176470588,0.2814889612544667,42.946153846153834,24.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,24040.0,10,10,28691.666666666668,22470.240601656726,23983.98073109124,0.23302524504475808,PI152816
78.0,0.8132835820895522,56.50174129353233,127.0,4.083333333333333,0.3519635985896154,0.0008741370421340098,2.165739007870769,-0.00032481038964709283,2.2563925495846155,-0.014629162803686719,4.502568727,-0.037752260818272564,3.477941176470588,0.2814889612544667,25.5,25.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,12180.0,10,12,12810.0,14781.546978139464,12128.097099523484,0.42613218782032963,PI329501
74.5,0.8132835820895522,56.50174129353233,219.0,11.083333333333336,0.4027096732428462,-0.002867829964223575,1.9612531668353843,0.014603298674007175,1.8934433544184612,0.006498558028656756,3.102403160828461,0.04582590139247518,3.477941176470588,0.2814889612544667,42.946153846153834,23.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,16480.0,10,15,20010.0,25783.340488410216,17213.551117775907,4.451159695242155,PI144134
67.5,0.8132835820895522,56.50174129353233,140.0,11.083333333333336,0.3938455183436429,-0.0016854920736470759,2.0523621570585715,0.010854421630776635,1.9449694852164283,-0.006632831957667204,3.5464744339464285,0.013077876875624174,3.477941176470588,0.2814889612544667,42.946153846153834,27.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,18200.0,11,2,17710.0,17986.04798233253,17611.169288867663,3.2353335776502057,PI576399
