cultivar_id,cultivar,season,range,column,absorbance_850,roll,PhiNO,PhiNPQ,absorbance_530,absorbance_605,absorbance_730,absorbance_880,absorbance_940,Fs,NPQt,qL,qP,RFd,SPAD_530,SPAD_605,SPAD_730,leaf_thickness,ambient_humidity,leaf_angle_clamp_position,pitch,proximal_air_temperature,FvP/FmP,leaf_temperature_differential,Phi2,relative_chlorophyll,FmPrime,FoPrime,LEF,SPAD_420,SPAD_650,SPAD_850,SPAD_880,light_intensity_PAR,leaf_temperature,date
6000000851,PI511355,4,26,15,0.534,-28.49,0.08800000000000001,0.6709999999999999,1.101,1.2990000000000002,0.419,0.568,0.556,1965.8,7.617000000000001,0.561,0.667,0.318,54.47,74.35,-13.68,1.8,20.361328,40.4,-29.95,43.939999,0.36200000000000004,-4.649999,0.24100000000000002,34.58891013,2590.2270000000003,1654.0,173.67,139.41,34.59,-2.17,1.2,1601.0,312.44,2017-08-18 14:10:00
6000000962,PI570254,4,16,14,0.42,27.27,0.14300000000000002,0.637,1.125,1.3659999999999999,0.348,0.47700000000000004,0.45899999999999996,2973.3,4.462,0.316,0.467,0.282,66.64,90.67,-11.08,0.13,19.737305,28.69,9.27,43.939999,0.47200000000000003,-8.389999000000001,0.22,43.15487572,3812.6940000000004,2014.0,174.458,156.73,43.15,-3.92,1.84,1761.0,308.7,2017-08-18 14:16:00
6000000962,PI570254,4,16,14,0.43200000000000005,-4.76,0.128,0.643,1.22,1.4869999999999999,0.375,0.48700000000000004,0.47,3377.0,5.042,0.368,0.513,0.298,74.99,101.72,-9.5,0.15,20.616211,4.95,1.33,43.959998999999996,0.447,-11.029999,0.22899999999999998,49.00191205,4381.747,2424.0,166.03099999999998,171.19,49.0,-3.79,1.64,1609.0,306.08,2017-08-18 14:18:00
6000000964,PI570373,4,21,2,0.364,5.3,0.212,0.428,0.867,0.978,0.28800000000000003,0.396,0.408,5351.6,2.019,0.348,0.5820000000000001,0.562,45.9,57.01,-12.04,0.11,51.006836,8.89,7.15,28.709999,0.618,1.400001,0.36,33.83938815,8359.659,3195.0,101.52600000000001,144.19,33.84,-4.44,-1.18,627.0,303.26,2017-08-21 10:15:00
6000000964,PI570373,4,21,2,0.375,6.66,0.254,0.364,0.9329999999999999,1.065,0.309,0.41,0.418,6041.0,1.4369999999999998,0.309,0.573,0.619,51.56,64.74,-10.92,0.13,47.988281,9.05,6.14,30.549999,0.667,-1.499999,0.382,36.05736138,9778.66,3257.0,108.36,142.77,36.06,-4.26,-0.76,630.0,302.2,2017-08-21 10:17:00
6000000964,PI570373,4,45,3,0.38299999999999995,-7.95,0.18899999999999997,0.44299999999999995,1.031,1.216,0.35100000000000003,0.423,0.425,5764.1,2.34,0.39899999999999997,0.621,0.583,60.65,79.07,-7.44,0.12,45.736328,8.03,1.14,32.400002,0.594,-2.000002,0.368,42.84130019,9125.822,3708.0,105.09899999999999,156.56,42.84,-4.2,-0.18,634.0,303.55,2017-08-21 10:24:00
6000000962,PI570254,4,45,4,0.42100000000000004,-4.24,0.154,0.486,1.167,1.376,0.39299999999999996,0.45299999999999996,0.45399999999999996,4026.3,3.158,0.48,0.6679999999999999,0.564,71.25,92.17,-6.1,0.61,41.865234,15.74,15.17,34.48,0.54,-3.61,0.361,47.38814532,6296.155,2897.0,105.93799999999999,167.04,47.39,-3.38,-0.16,653.0,304.02,2017-08-21 10:40:00
6000000962,PI570254,4,45,4,0.38,-11.21,0.265,0.314,1.161,1.403,0.364,0.42,0.42100000000000004,6192.5,1.185,0.325,0.609,0.725,73.98,98.16,-5.66,0.14,40.775391,12.53,5.64,34.5,0.691,-4.64,0.42,50.837476099999996,10684.809,3305.0,101.598,175.55,50.84,-4.13,-0.11,537.0,303.01,2017-08-21 10:41:00
6000000962,PI570254,4,16,14,0.413,-2.68,0.28300000000000003,0.348,1.182,1.433,0.395,0.45,0.451,6078.8,1.228,0.267,0.537,0.584,73.07,98.13,-5.67,0.32,41.969727,2.71,0.41,34.389998999999996,0.687,-5.899999,0.369,50.2791587,9630.375,3018.0,117.994,176.82,50.28,-3.81,-0.16,711.0,301.64,2017-08-21 10:49:00
6000000208,PI651491,4,26,14,0.429,-18.07,0.207,0.373,1.047,1.189,0.365,0.47200000000000003,0.461,3742.1,1.7990000000000002,0.414,0.66,0.722,58.66,72.83,-9.56,0.76,41.801758,27.62,21.24,36.139998999999996,0.635,-3.809999,0.419,37.7667304,6445.234,2349.0,118.711,158.44,37.77,-3.22,1.16,629.0,305.48,2017-08-21 11:04:00
6000000851,PI511355,4,26,15,0.43700000000000006,-42.7,0.168,0.48,1.17,1.355,0.385,0.478,0.478,3809.1,2.8510000000000004,0.429,0.63,0.544,69.19,87.68,-9.28,0.3,40.829102,46.97,21.79,36.5,0.5589999999999999,-5.18,0.35200000000000004,45.05162524,5879.5740000000005,2593.0,151.17700000000002,174.28,45.05,-4.12,0.03,954.0,304.47,2017-08-21 11:10:00
6000000964,PI570373,4,45,3,0.413,14.13,0.106,0.706,1.178,1.42,0.373,0.46,0.451,3703.5,6.659,0.363,0.48200000000000004,0.231,72.67,96.87,-7.86,0.14,35.945312,14.29,2.16,39.130001,0.389,-3.180001,0.188,48.65391969,4559.215999999999,2785.0,144.589,166.44,48.65,-3.81,0.91,1712.0,309.1,2017-08-21 11:44:00
6000000964,PI570373,4,45,3,0.418,-9.45,0.06,0.7140000000000001,1.1159999999999999,1.3030000000000002,0.35700000000000004,0.466,0.45399999999999996,2804.6,11.853,0.768,0.82,0.29100000000000004,66.2,84.82,-9.75,0.11,37.105469,14.92,11.6,39.689999,0.275,-1.299999,0.226,41.96558317,3621.9559999999997,2625.0,104.09299999999999,149.83,41.97,-3.62,1.17,1025.0,311.54,2017-08-21 11:46:00
6000000964,PI570373,4,45,3,0.396,-10.35,0.03,0.852,0.905,1.063,0.29600000000000004,0.444,0.43,2134.0,28.454,0.8109999999999999,0.833,0.134,47.43,63.23,-13.46,0.11,36.25293,18.75,15.72,40.0,0.142,0.43,0.11800000000000001,31.70172084,2420.645,2077.0,118.57,126.48,31.7,-3.43,1.35,2225.0,313.58,2017-08-21 11:47:00
6000000964,PI570373,4,45,3,0.418,-11.22,0.055999999999999994,0.754,1.141,1.348,0.36200000000000004,0.465,0.45299999999999996,2925.9,13.456,0.696,0.754,0.235,68.75,89.49,-9.09,0.17,37.243164,12.31,-5.1,40.259997999999996,0.252,-1.949998,0.19,44.07265774,3613.571,2702.0,121.259,153.65,44.07,-3.56,1.21,1416.0,311.46,2017-08-21 11:48:00
6000000962,PI570254,4,45,4,0.439,10.3,0.10800000000000001,0.6990000000000001,1.228,1.4680000000000002,0.408,0.489,0.47600000000000003,3479.7,6.452999999999999,0.365,0.488,0.239,75.17,99.14,-6.82,0.18,30.570312,13.82,9.26,40.68,0.396,-6.25,0.193,47.50669216,4311.474,2605.0,154.01,161.55,47.51,-3.72,1.29,1774.0,307.58,2017-08-21 11:56:00
6000000964,PI570373,4,21,2,0.43200000000000005,-17.72,0.11900000000000001,0.524,1.107,1.294,0.374,0.478,0.466,3177.5,4.391,0.611,0.75,0.5529999999999999,64.03,82.78,-9.25,0.17,31.84668,19.41,8.07,40.279999,0.475,-5.549999,0.35600000000000004,37.00956023,4935.22,2590.0,135.58700000000002,131.34,37.01,-3.48,1.17,846.0,307.88,2017-08-21 12:08:00
6000000962,PI570254,4,16,14,0.424,-26.01,0.12300000000000001,0.6559999999999999,1.2,1.4680000000000002,0.389,0.469,0.45799999999999996,3624.4,5.349,0.37,0.51,0.285,74.16,100.93,-6.91,0.4,29.691406,31.45,18.34,40.52,0.435,-8.33,0.222,49.89674952,4655.804,2632.0,140.457,170.36,49.9,-3.41,1.1,1409.0,305.34,2017-08-21 12:15:00
6000000962,PI570254,4,16,14,0.42700000000000005,-33.74,0.16,0.5920000000000001,1.208,1.4609999999999999,0.38799999999999996,0.474,0.46299999999999997,4240.3,3.7060000000000004,0.318,0.48700000000000004,0.33,74.42,99.76,-7.58,0.17,33.080078,36.38,14.49,40.93,0.509,-9.46,0.248,48.76864245,5638.775,2768.0,147.989,162.73,48.77,-3.65,1.07,1326.0,304.62,2017-08-21 12:18:00
6000000208,PI651491,4,26,14,0.452,-3.46,0.10300000000000001,0.68,1.286,1.5219999999999998,0.401,0.488,0.48200000000000004,3219.2,6.5729999999999995,0.428,0.552,0.276,80.33,103.97,-8.13,0.81,29.634766,18.83,18.52,41.060001,0.392,-6.1100010000000005,0.21600000000000003,52.05353728,4107.857,2498.0,167.639,197.51,52.05,-3.03,0.6,1722.0,308.1,2017-08-21 12:24:00
6000000208,PI651491,4,26,14,0.41200000000000003,22.36,0.084,0.746,1.186,1.4140000000000001,0.377,0.466,0.447,3072.1,8.911,0.41700000000000004,0.516,0.205,73.96,96.73,-6.98,0.34,31.391602000000002,29.21,19.3,41.48,0.33,-6.35,0.17,49.40726577,3702.366,2481.0,141.55700000000002,182.82,49.41,-3.46,1.93,1848.0,308.28,2017-08-21 12:26:00
6000000851,PI511355,4,26,15,0.435,-11.06,0.17600000000000002,0.607,1.064,1.271,0.355,0.48700000000000004,0.47,3810.2,3.445,0.253,0.415,0.278,59.36,80.04,-11.51,0.25,28.054688,21.17,-18.17,42.389998999999996,0.523,-8.419999,0.217,38.745697899999996,4867.998,2320.0,173.463,150.27,38.75,-3.53,1.64,1774.0,307.12,2017-08-21 12:56:00
